Id,gr_liv_area,overall_qual,neighborhood_nridght,garage_cars,exter_qual,kitchen_qual,neighborhood_stonebr,bsmt_exposure,bldg_type_1fam,house_style_1story,fireplace_qu,mas_vnr_area,bsmtfin_type_1,neighborhood_noridge,total_baths,sale_type_new,year_remod_add,exterior_1st_brkface,functional,bldg_type_twnhse,land_contour_bnk,neighborhood_edwards,mas_vnr_type_brkface,neighborhood_crawfor,full_bath,roof_style_hip,land_contour_hls,bldg_type_twnhs,garage_type_none,bsmtfin_sf_1
109,1479,6,0,2.0,4,4,0,1,1,0,0,289.0,6,0,3.0,0,2005,0,7,0,0,0,1,0,2.0,0,0,0,0,533.0
544,2122,7,0,2.0,4,4,0,1,1,0,3,132.0,6,0,4.0,0,1997,0,7,0,0,0,1,0,3.0,0,0,0,0,637.0
153,1057,5,0,1.0,3,4,0,1,1,1,0,0.0,6,0,2.0,0,2007,0,7,0,0,0,0,0,2.0,0,0,0,0,731.0
318,1444,5,0,2.0,3,3,0,1,1,0,0,0.0,1,0,3.0,0,2007,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
255,1445,6,0,2.0,3,3,0,1,1,0,0,0.0,1,0,2.0,0,1993,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
138,1888,6,0,2.0,4,4,0,1,1,1,4,0.0,5,0,3.0,0,2002,1,4,0,0,0,0,0,2.0,0,0,0,0,247.0
145,1188,5,0,2.0,3,3,0,1,1,1,0,180.0,3,0,2.0,0,1959,0,7,0,0,0,1,0,2.0,1,0,0,0,1000.0
1942,924,5,0,1.0,3,3,0,1,1,1,0,0.0,3,0,1.0,0,1952,0,7,0,0,0,0,0,1.0,0,0,0,0,292.0
1956,2080,5,0,2.0,3,2,0,3,1,0,3,192.0,3,0,4.0,0,1969,0,7,0,0,0,1,0,1.0,0,1,0,0,650.0
1044,987,6,0,1.0,3,3,0,1,0,0,0,232.0,5,0,2.0,0,1971,0,7,0,0,0,1,0,1.0,0,0,1,0,387.0
2752,1208,7,0,2.0,4,4,0,3,1,1,0,0.0,6,0,2.0,0,2005,0,7,0,0,0,0,0,2.0,0,0,0,0,393.0
807,2016,5,0,2.0,4,3,0,0,1,0,3,0.0,0,0,1.0,0,2007,0,4,0,1,0,0,0,1.0,0,0,0,0,0.0
1177,1607,8,0,2.0,4,4,0,1,0,0,0,456.0,6,0,4.0,0,2000,0,7,0,0,0,1,0,3.0,0,0,1,0,813.0
1480,1361,7,0,2.0,4,4,0,3,1,1,0,0.0,6,0,2.0,0,2007,0,7,0,0,0,0,0,2.0,0,0,0,0,24.0
324,1430,5,0,2.0,3,4,0,3,1,1,0,0.0,1,0,2.0,0,2005,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
1311,1344,5,0,3.0,3,3,0,1,1,0,0,0.0,1,0,1.0,0,1950,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
770,1121,5,0,2.0,3,3,0,1,1,1,0,0.0,3,0,2.0,0,1963,0,7,0,0,0,0,0,2.0,0,0,0,0,651.0
2063,1285,6,0,2.0,3,3,0,1,1,1,3,148.0,1,0,2.0,0,1977,0,7,0,0,0,1,0,1.0,0,0,0,0,0.0
69,1547,7,0,2.0,3,4,0,2,1,0,0,0.0,6,0,3.0,0,2009,0,7,0,0,0,0,0,2.0,0,0,0,0,24.0
2062,894,5,0,2.0,3,3,0,1,1,1,1,0.0,4,0,1.0,0,1968,0,7,0,0,0,0,0,1.0,0,0,0,0,492.0
351,1659,8,0,2.0,4,5,1,1,0,1,5,0.0,6,0,3.0,0,2000,0,7,1,0,0,0,0,3.0,0,0,0,0,1158.0
2393,2253,8,1,2.0,4,5,0,3,1,0,4,0.0,1,0,3.0,1,2006,0,7,0,0,0,0,0,2.0,0,0,0,0,0.0
12,1187,6,0,2.0,3,3,0,1,1,1,0,0.0,5,0,3.0,0,2007,0,7,0,0,0,0,0,3.0,0,0,0,0,935.0
624,1453,6,0,2.0,3,3,0,1,1,1,3,3.0,3,0,3.0,0,1961,0,7,0,0,0,1,0,3.0,1,0,0,0,1312.0
86,894,5,0,1.0,3,3,0,1,1,1,4,0.0,6,0,2.0,0,2009,0,7,0,0,0,0,0,2.0,0,0,0,0,553.0
1534,1938,5,0,1.0,3,4,0,1,1,0,4,0.0,4,0,2.0,0,1995,0,5,0,0,0,0,1,2.0,0,1,0,0,606.0
2243,1991,5,0,0.0,3,3,0,1,0,0,0,0.0,1,0,2.0,0,2006,0,7,0,0,0,0,0,2.0,0,0,0,1,0.0
1957,924,5,0,2.0,3,3,0,2,1,0,1,0.0,1,0,1.0,0,2006,0,7,0,0,0,0,0,1.0,0,0,0,0,0.0
